player.firstname,player.lastname,pos,points,min,fgm,fga,fgp,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus
Aaron,Wiggins,SG,4,9,1,7,14.3,2,2,0,2,0,2,0,2,0,0,0,0,0,-4
Aaron,Wiggins,SG,16,29,6,12,50.0,2,4,2,4,50.0,2,2,4,2,4,0,0,0,-6
Aaron,Wiggins,SG,2,12,1,2,50.0,0,0,0,1,0,0,2,2,0,1,0,0,0,+8
Aaron,Wiggins,SG,4,16,2,3,66.7,0,0,0,0,0,1,5,6,0,3,1,0,0,0
Aaron,Wiggins,SG,2,11,1,3,33.3,0,0,0,1,0,1,2,3,0,2,0,1,0,-4
Aaron,Wiggins,SG,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,+2
Aaron,Wiggins,SG,5,10,2,3,66.7,1,2,0,1,0,0,0,0,0,0,0,0,0,-8
Aaron,Wiggins,SG,10,14,4,5,80.0,2,2,0,1,0,0,4,4,2,5,0,2,0,+14
Aaron,Wiggins,SG,7,17,3,6,50.0,0,0,1,3,33.3,0,2,2,0,1,1,0,0,-3
Aaron,Wiggins,SG,5,7,2,2,100.0,0,0,1,1,100.0,1,0,1,0,0,0,0,0,+3
Aaron,Wiggins,SG,0,9,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,+4
Aaron,Wiggins,SG,2,12,1,4,25.0,0,0,0,0,0,0,2,2,1,1,1,0,0,+9
Aaron,Wiggins,SG,3,5,1,1,100.0,0,0,1,1,100.0,0,0,0,1,0,1,0,0,-2
Aaron,Wiggins,SG,5,11,2,3,66.7,1,2,0,1,0,0,2,2,1,0,0,0,0,+3
Aaron,Wiggins,SG,0,6,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0,+2
Aaron,Wiggins,SG,13,16,4,7,57.1,3,3,2,3,66.7,2,3,5,1,1,3,2,0,+11
Aaron,Wiggins,SG,6,11,2,2,100.0,2,2,0,0,0,0,4,4,1,1,0,1,0,+2
Aaron,Wiggins,SG,7,20,2,4,50.0,2,4,1,3,33.3,2,1,3,1,1,0,0,0,0
Aaron,Wiggins,SG,8,16,3,4,75.0,0,0,2,2,100.0,1,2,3,1,2,0,0,0,-7
Aaron,Wiggins,SG,6,13,2,2,100.0,1,2,1,1,100.0,2,3,5,2,2,0,0,0,+5
Aaron,Wiggins,SG,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Wiggins,SG,11,15,4,4,100.0,3,4,0,0,0,0,1,1,0,3,1,0,0,-5
Aaron,Wiggins,SG,9,22,4,5,80.0,0,0,1,2,50.0,1,2,3,1,2,2,1,0,-15
Aaron,Wiggins,SG,3,4,1,4,25.0,0,0,1,1,100.0,1,0,1,0,0,0,0,0,+2
Aaron,Wiggins,SG,6,7,3,4,75.0,0,0,0,0,0,1,0,1,0,0,0,1,0,-5
Aaron,Wiggins,SG,6,12,2,2,100.0,2,2,0,0,0,1,1,2,1,1,0,0,0,-4
Aaron,Wiggins,SG,2,12,1,4,25.0,0,0,0,0,0,1,1,2,1,0,1,1,0,-8
Aaron,Wiggins,SG,8,25,3,6,50.0,1,2,1,2,50.0,0,7,7,1,3,1,1,0,+22
Aaron,Wiggins,SG,0,6,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,-6
Aaron,Wiggins,SG,3,14,1,2,50.0,0,0,1,2,50.0,1,4,5,1,1,0,0,0,+7
Aaron,Wiggins,SG,5,12,2,4,50.0,0,0,1,3,33.3,0,0,0,2,4,0,0,1,+7
Aaron,Wiggins,SG,7,12,3,5,60.0,0,0,1,1,100.0,2,3,5,0,2,0,1,0,+14
Aaron,Wiggins,SG,0,11,0,0,0,0,0,0,0,0,1,4,5,0,0,0,2,0,+3
Aaron,Wiggins,SG,4,13,1,3,33.3,2,2,0,1,0,0,1,1,1,1,1,0,0,+4
Aaron,Wiggins,SG,13,21,6,7,85.7,0,0,1,1,100.0,1,2,3,2,1,1,0,1,-7
Aaron,Wiggins,SG,2,8,1,2,50.0,0,0,0,1,0,0,0,0,2,2,0,0,0,-3
Aaron,Wiggins,SG,13,23,6,8,75.0,0,0,1,1,100.0,2,3,5,0,1,1,1,0,-2
Aaron,Wiggins,SG,2,8,1,4,25.0,0,0,0,0,0,0,0,0,0,1,0,0,0,-7
Aaron,Wiggins,SG,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,+6
Aaron,Wiggins,SG,0,7,0,2,0,0,0,0,0,0,1,0,1,1,4,2,0,0,-2
Aaron,Wiggins,SG,7,17,3,4,75.0,0,0,1,1,100.0,0,4,4,2,0,1,0,0,+4
Aaron,Wiggins,SG,4,22,1,3,33.3,2,2,0,1,0,0,2,2,5,3,0,0,1,+5
Aaron,Wiggins,SG,5,12,2,2,100.0,0,0,1,1,100.0,0,0,0,0,0,0,1,0,-14
Aaron,Wiggins,SG,13,17,6,8,75.0,0,0,1,1,100.0,2,1,3,0,3,0,1,0,-2
Aaron,Wiggins,SG,22,19,9,11,81.8,0,0,4,6,66.7,0,3,3,1,1,0,0,1,+6
Aaron,Wiggins,SG,8,17,3,5,60.0,0,0,2,2,100.0,0,2,2,1,1,0,1,0,+11
Aaron,Wiggins,SG,7,20,3,8,37.5,0,0,1,3,33.3,1,0,1,0,2,2,2,0,-11
Aaron,Wiggins,SG,7,20,3,3,100.0,0,0,1,1,100.0,1,3,4,1,1,1,1,0,-6
Aaron,Wiggins,SG,12,25,5,8,62.5,0,0,2,3,66.7,1,3,4,2,2,0,0,0,-2
Aaron,Wiggins,SG,10,19,3,6,50.0,2,3,2,5,40.0,0,2,2,4,1,1,1,0,+17
Aaron,Wiggins,SG,20,33,8,17,47.1,0,0,4,11,36.4,4,2,6,2,1,0,1,0,+3
Aaron,Wiggins,SG,9,17,3,5,60.0,1,2,2,3,66.7,2,2,4,1,0,0,0,0,-11
Aaron,Wiggins,SG,7,22,2,4,50.0,2,2,1,2,50.0,1,3,4,0,3,2,0,0,-11
Aaron,Wiggins,SG,5,16,2,4,50.0,0,0,1,2,50.0,0,0,0,2,1,0,1,0,-22
