points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
4,PG,7,1,1,100.0,1,1,100.0,1,1,100.0,0,2,2,1,0,0,1,0,+5,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478
5,PG,19,1,2,50.0,2,2,100.0,1,2,50.0,0,0,0,3,3,0,2,0,-17,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12511
11,PG,31,4,9,44.4,2,2,100.0,1,4,25.0,1,3,4,3,1,1,1,1,-6,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12557
14,PG,29,6,10,60.0,0,0,0,2,6,33.3,2,2,4,5,1,1,0,0,+21,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12581
6,PG,28,2,9,22.2,0,0,0,2,6,33.3,1,1,2,3,3,0,0,0,-12,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12592
17,PG,27,7,9,77.8,0,0,0,3,4,75.0,0,3,3,6,1,1,0,0,+19,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12611
7,PG,28,3,9,33.3,0,0,0,1,4,25.0,0,3,3,6,4,1,0,0,+23,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12633
8,PG,36,3,5,60.0,0,0,0,2,3,66.7,0,2,2,3,1,2,0,0,-18,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12649
12,PG,21,4,5,80.0,0,0,0,4,5,80.0,0,4,4,4,2,1,0,0,+16,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12661
11,PG,31,3,7,42.9,4,4,100.0,1,3,33.3,2,1,3,6,3,0,4,0,+4,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12673
8,PG,31,3,7,42.9,1,1,100.0,1,5,20.0,1,4,5,9,4,0,1,0,+6,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12690
13,PG,31,4,6,66.7,2,2,100.0,3,4,75.0,0,2,2,8,1,2,1,0,+12,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12704
14,PG,22,5,8,62.5,3,3,100.0,1,3,33.3,1,1,2,3,0,0,0,0,-16,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12711
5,PG,30,2,8,25.0,0,0,0,1,5,20.0,0,3,3,5,1,1,3,0,-5,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12728
11,PG,28,3,9,33.3,2,2,100.0,3,8,37.5,0,1,1,5,3,0,0,1,+20,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12746
5,PG,23,2,5,40.0,0,0,0,1,2,50.0,0,0,0,8,1,3,1,0,+6,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12762
6,PG,30,2,7,28.6,0,0,0,2,3,66.7,1,2,3,9,1,1,1,0,-10,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12776
18,PG,32,6,11,54.5,0,0,0,6,9,66.7,0,4,4,10,1,1,2,0,+8,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12789
9,PG,37,3,14,21.4,0,0,0,3,10,30.0,0,2,2,8,2,1,0,0,+17,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12803
8,PG,29,2,6,33.3,2,2,100.0,2,6,33.3,0,3,3,7,3,2,2,0,+4,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12818
14,PG,34,3,9,33.3,7,8,87.5,1,7,14.3,0,5,5,10,2,0,1,0,+10,,114,Mike,Conley,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12829
