points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
12,PF,24,5,6,83.3,0,0,0,2,2,100.0,0,3,3,2,2,0,0,1,-8,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12592
6,PF,21,3,5,60.0,0,0,0,0,1,0,3,6,9,2,5,0,4,2,+19,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12611
5,PF,20,2,4,50.0,0,0,0,1,2,50.0,0,0,0,1,6,1,0,1,+10,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12633
20,PF,45,8,18,44.4,0,0,0,4,9,44.4,1,1,2,1,3,1,3,0,-6,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12649
10,PF,26,4,7,57.1,0,0,0,2,5,40.0,0,0,0,3,2,0,0,0,+18,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12661
10,PF,26,5,11,45.5,0,0,0,0,2,0,2,3,5,0,6,2,0,0,-1,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12673
13,PF,35,6,8,75.0,0,0,0,1,2,50.0,0,0,0,1,5,0,0,0,+8,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12690
0,PF,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,+2,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12704
13,PF,23,6,10,60.0,1,1,100.0,0,3,0,1,1,2,3,4,2,1,0,-5,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12711
12,PF,34,5,7,71.4,1,1,100.0,1,2,50.0,0,2,2,1,3,0,2,0,+8,,2621,Jaden,McDaniels,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12728
