points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
7,PG,11,3,4,75.0,0,0,0,1,1,100.0,0,3,3,3,0,0,0,0,+3,,845,Monte,Morris,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,13167
1,PG,8,0,4,0,1,2,50.0,0,2,0,0,1,1,0,1,0,1,1,-14,,845,Monte,Morris,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,13190
9,PG,14,4,8,50.0,0,0,0,1,2,50.0,0,1,1,2,0,1,0,0,+5,,845,Monte,Morris,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,13202
8,PG,16,4,8,50.0,0,0,0,0,2,0,0,2,2,2,0,0,1,0,+16,,845,Monte,Morris,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,13223
0,PG,10,0,4,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,-15,,845,Monte,Morris,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,13236
2,PG,9,1,5,20.0,0,0,0,0,2,0,2,2,4,0,0,0,0,0,+3,,845,Monte,Morris,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,13252
5,PG,18,2,5,40.0,0,0,0,1,4,25.0,0,2,2,2,1,1,0,1,+10,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13318
0,PG,12,0,3,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,-4,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13323
12,PG,15,5,8,62.5,1,1,100.0,1,4,25.0,0,1,1,3,0,1,1,0,-4,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13339
5,PG,10,2,5,40.0,0,0,0,1,2,50.0,0,0,0,1,0,0,0,0,+11,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13356
5,PG,18,2,4,50.0,0,0,0,1,3,33.3,0,2,2,4,0,1,0,1,+7,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13363
8,PG,27,2,8,25.0,3,4,75.0,1,2,50.0,1,3,4,4,1,2,0,0,-1,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13386
