points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
14,C,16,6,8,75.0,0,0,0,2,2,100.0,1,2,3,1,1,1,2,0,+9,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478
22,C,19,8,12,66.7,1,2,50.0,5,8,62.5,1,0,1,1,3,1,2,1,+9,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12511
14,C,21,4,6,66.7,5,7,71.4,1,3,33.3,0,8,8,3,1,2,1,0,+10,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12536
10,C,24,3,8,37.5,4,4,100.0,0,2,0,1,3,4,1,0,0,1,0,+1,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12557
25,C,28,10,14,71.4,1,1,100.0,4,7,57.1,1,7,8,1,3,2,0,0,+30,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12581
13,C,24,5,12,41.7,0,0,0,3,7,42.9,0,1,1,0,1,0,1,0,-21,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12592
16,C,19,6,9,66.7,3,3,100.0,1,3,33.3,1,4,5,1,0,1,1,0,+4,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12611
16,C,22,5,9,55.6,3,4,75.0,3,5,60.0,2,3,5,1,0,0,1,0,+9,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12633
14,C,25,5,9,55.6,2,2,100.0,2,4,50.0,1,3,4,2,0,2,3,2,-2,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12649
9,C,22,4,8,50.0,0,0,0,1,4,25.0,1,3,4,0,2,1,0,0,+17,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12661
7,C,18,3,7,42.9,0,0,0,1,3,33.3,1,2,3,0,1,0,0,2,+7,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12673
10,C,19,3,8,37.5,2,2,100.0,2,5,40.0,1,5,6,2,2,0,2,0,+10,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12690
10,C,16,4,5,80.0,0,0,0,2,3,66.7,0,2,2,0,4,0,1,0,-8,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12704
13,C,19,4,7,57.1,4,4,100.0,1,2,50.0,2,2,4,0,0,1,0,0,-5,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12711
8,C,19,2,8,25.0,2,2,100.0,2,6,33.3,0,1,1,0,0,0,1,1,-8,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12728
10,C,18,3,8,37.5,3,3,100.0,1,6,16.7,0,3,3,1,6,1,3,0,+3,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12746
13,C,22,6,13,46.2,0,1,0,1,4,25.0,1,3,4,0,1,3,0,1,+4,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12762
9,C,18,4,7,57.1,0,0,0,1,3,33.3,0,1,1,0,0,0,3,2,-19,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12776
12,C,22,4,9,44.4,3,4,75.0,1,2,50.0,2,4,6,0,4,1,1,0,+4,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12789
15,C,25,6,9,66.7,0,0,0,3,4,75.0,1,6,7,2,2,0,1,2,+1,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12803
6,C,22,3,9,33.3,0,0,0,0,4,0,1,2,3,0,2,1,0,1,-2,,2146,Naz,Reid,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12818
