points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
6,SG,16,2,6,33.3,0,0,0,2,4,50.0,0,2,2,0,3,1,0,1,-3,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12478
5,SG,17,2,6,33.3,0,0,0,1,5,20.0,1,0,1,2,5,0,1,0,-25,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12511
6,SG,23,2,9,22.2,0,0,0,2,9,22.2,0,1,1,0,2,2,0,0,+6,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12536
2,SG,23,1,5,20.0,0,0,0,0,3,0,0,4,4,2,3,1,1,0,-17,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12557
5,SG,23,2,8,25.0,0,0,0,1,6,16.7,0,3,3,3,3,1,3,2,+8,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12581
3,SG,13,1,3,33.3,0,2,0,1,3,33.3,0,0,0,2,1,0,1,0,-9,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12592
5,SG,21,2,6,33.3,0,0,0,1,2,50.0,0,0,0,1,2,0,0,1,+2,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12611
0,SG,18,0,3,0,0,1,0,0,1,0,1,2,3,1,0,2,0,3,+1,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12633
8,SG,20,3,6,50.0,0,1,0,2,4,50.0,0,1,1,3,3,1,1,0,+13,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12649
0,SG,18,0,1,0,0,0,0,0,1,0,0,4,4,8,0,1,2,0,-13,,1845,Nickeil,Alexander-Walker,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12661
